,date,hour,holiday,weekday,count
531,2018-01-23,6,No,Tuesday,133
532,2018-01-23,7,No,Tuesday,414
533,2018-01-23,8,No,Tuesday,1042
534,2018-01-23,9,No,Tuesday,543
535,2018-01-23,10,No,Tuesday,270
536,2018-01-23,11,No,Tuesday,276
537,2018-01-23,12,No,Tuesday,371
538,2018-01-23,13,No,Tuesday,356
539,2018-01-23,14,No,Tuesday,324
540,2018-01-23,15,No,Tuesday,400
541,2018-01-23,16,No,Tuesday,706
542,2018-01-23,17,No,Tuesday,1181
543,2018-01-23,18,No,Tuesday,901
544,2018-01-23,19,No,Tuesday,501
545,2018-01-23,20,No,Tuesday,290
546,2018-01-23,21,No,Tuesday,213
547,2018-01-23,22,No,Tuesday,98
548,2018-01-23,23,No,Tuesday,66
549,2018-01-24,0,No,Wednesday,26
550,2018-01-24,1,No,Wednesday,12
551,2018-01-24,2,No,Wednesday,7
552,2018-01-24,3,No,Wednesday,2
553,2018-01-24,4,No,Wednesday,11
554,2018-01-24,5,No,Wednesday,85
555,2018-01-24,6,No,Wednesday,306
556,2018-01-24,7,No,Wednesday,697
557,2018-01-24,8,No,Wednesday,1180
558,2018-01-24,9,No,Wednesday,478
559,2018-01-24,10,No,Wednesday,215
560,2018-01-24,11,No,Wednesday,239
561,2018-01-24,12,No,Wednesday,279
562,2018-01-24,13,No,Wednesday,273
563,2018-01-24,14,No,Wednesday,243
564,2018-01-24,15,No,Wednesday,349
565,2018-01-24,16,No,Wednesday,561
566,2018-01-24,17,No,Wednesday,988
567,2018-01-24,18,No,Wednesday,759
568,2018-01-24,19,No,Wednesday,442
569,2018-01-24,20,No,Wednesday,223
570,2018-01-24,21,No,Wednesday,176
571,2018-01-24,22,No,Wednesday,116
572,2018-01-24,23,No,Wednesday,61
573,2018-01-25,0,No,Thursday,22
574,2018-01-25,1,No,Thursday,2
575,2018-01-25,2,No,Thursday,3
576,2018-01-25,3,No,Thursday,6
577,2018-01-25,4,No,Thursday,13
578,2018-01-25,5,No,Thursday,64
579,2018-01-25,6,No,Thursday,239
580,2018-01-25,7,No,Thursday,584
581,2018-01-25,8,No,Thursday,978
582,2018-01-25,9,No,Thursday,434
583,2018-01-25,10,No,Thursday,199
584,2018-01-25,11,No,Thursday,223
585,2018-01-25,12,No,Thursday,261
586,2018-01-25,13,No,Thursday,240
587,2018-01-25,14,No,Thursday,229
588,2018-01-25,15,No,Thursday,350
589,2018-01-25,16,No,Thursday,529
590,2018-01-25,17,No,Thursday,923
591,2018-01-25,18,No,Thursday,702
592,2018-01-25,19,No,Thursday,418
593,2018-01-25,20,No,Thursday,264
594,2018-01-25,21,No,Thursday,207
595,2018-01-25,22,No,Thursday,134
596,2018-01-25,23,No,Thursday,72
597,2018-01-26,0,No,Friday,26
598,2018-01-26,1,No,Friday,9
599,2018-01-26,2,No,Friday,5
600,2018-01-26,3,No,Friday,8
601,2018-01-26,4,No,Friday,12
602,2018-01-26,5,No,Friday,64
603,2018-01-26,6,No,Friday,192
604,2018-01-26,7,No,Friday,495
605,2018-01-26,8,No,Friday,873
606,2018-01-26,9,No,Friday,469
607,2018-01-26,10,No,Friday,232
608,2018-01-26,11,No,Friday,288
609,2018-01-26,12,No,Friday,394
610,2018-01-26,13,No,Friday,363
611,2018-01-26,14,No,Friday,321
612,2018-01-26,15,No,Friday,420
613,2018-01-26,16,No,Friday,597
614,2018-01-26,17,No,Friday,911
615,2018-01-26,18,No,Friday,623
616,2018-01-26,19,No,Friday,369
617,2018-01-26,20,No,Friday,209
618,2018-01-26,21,No,Friday,166
619,2018-01-26,22,No,Friday,134
620,2018-01-26,23,No,Friday,114
621,2018-01-27,0,No,Saturday,65
622,2018-01-27,1,No,Saturday,61
623,2018-01-27,2,No,Saturday,34
624,2018-01-27,3,No,Saturday,19
625,2018-01-27,4,No,Saturday,13
626,2018-01-27,5,No,Saturday,9
627,2018-01-27,6,No,Saturday,29
628,2018-01-27,7,No,Saturday,81
629,2018-01-27,8,No,Saturday,198
630,2018-01-27,9,No,Saturday,322
631,2018-01-27,10,No,Saturday,528
632,2018-01-27,11,No,Saturday,627
633,2018-01-27,12,No,Saturday,829
634,2018-01-27,13,No,Saturday,918
635,2018-01-27,14,No,Saturday,1040
636,2018-01-27,15,No,Saturday,1029
637,2018-01-27,16,No,Saturday,836
638,2018-01-27,17,No,Saturday,584
639,2018-01-27,18,No,Saturday,395
640,2018-01-27,19,No,Saturday,319
641,2018-01-27,20,No,Saturday,273
642,2018-01-27,21,No,Saturday,168
643,2018-01-27,22,No,Saturday,191
644,2018-01-27,23,No,Saturday,139
645,2018-01-28,0,No,Sunday,102
646,2018-01-28,1,No,Sunday,62
647,2018-01-28,2,No,Sunday,44
648,2018-01-28,3,No,Sunday,10
649,2018-01-28,4,No,Sunday,8
650,2018-01-28,5,No,Sunday,7
651,2018-01-28,6,No,Sunday,21
652,2018-01-28,7,No,Sunday,50
653,2018-01-28,8,No,Sunday,78
654,2018-01-28,9,No,Sunday,90
655,2018-01-28,10,No,Sunday,137
656,2018-01-28,11,No,Sunday,174
657,2018-01-28,12,No,Sunday,209
658,2018-01-28,13,No,Sunday,181
659,2018-01-28,14,No,Sunday,237
660,2018-01-28,15,No,Sunday,266
661,2018-01-28,16,No,Sunday,273
662,2018-01-28,17,No,Sunday,270
663,2018-01-28,18,No,Sunday,195
664,2018-01-28,19,No,Sunday,181
665,2018-01-28,20,No,Sunday,92
666,2018-01-28,21,No,Sunday,71
667,2018-01-28,22,No,Sunday,66
668,2018-01-28,23,No,Sunday,43
669,2018-01-29,0,No,Monday,11
670,2018-01-29,1,No,Monday,9
671,2018-01-29,2,No,Monday,9
672,2018-01-29,3,No,Monday,6
673,2018-01-29,4,No,Monday,11
674,2018-01-29,5,No,Monday,71
675,2018-01-29,6,No,Monday,239
676,2018-01-29,7,No,Monday,601
677,2018-01-29,8,No,Monday,1010
678,2018-01-29,9,No,Monday,441
679,2018-01-29,10,No,Monday,192
680,2018-01-29,11,No,Monday,220
